PRIV-00001 | 0.9591 | 2.7058 | 0.8468 | CRITICAL_MEMORIZATION_LEAK_HAZARD | TRIGGER_DYNAMIC_DIFFERENTIAL_PRIVACY_NOISE | 422
PRIV-00015 | 0.8588 | 2.8239 | 0.5288 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00016 | 0.5764 | 2.3915 | 0.153 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00017 | 0.8589 | 1.5126 | 0.4788 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00018 | 0.6582 | 0.1342 | 0.1647 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00019 | 0.9780 | 1.1853 | 0.6802 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00020 | 0.9978 | 0.1863 | 0.4864 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00021 | 0.5565 | 2.5317 | 0.2183 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00022 | 0.8742 | 2.2950 | 0.598 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00023 | 0.8918 | 3.0576 | 0.6802 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00024 | 0.5781 | 2.8607 | 0.1257 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00025 | 0.5101 | 3.3030 | 0.1063 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00026 | 0.6084 | 1.6471 | 0.1932 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00027 | 0.8131 | 0.2187 | 0.2521 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00028 | 0.5575 | 2.8888 | 0.1792 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00029 | 0.7905 | 2.6528 | 0.4374 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00030 | 0.5234 | 1.5520 | 0.1067 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00031 | 0.8770 | 0.8055 | 0.4422 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00032 | 0.6090 | 0.6438 | 0.2222 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00033 | 0.9342 | 1.9255 | 0.711 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00034 | 0.9962 | 2.8698 | 0.8933 | CRITICAL_MEMORIZATION_LEAK_HAZARD | TRIGGER_DYNAMIC_DIFFERENTIAL_PRIVACY_NOISE | 422
PRIV-00035 | 0.7606 | 2.7978 | 0.4477 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00036 | 0.9006 | 0.2949 | 0.3699 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00037 | 0.9476 | 1.9609 | 0.7542 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00038 | 0.8334 | 2.2059 | 0.443 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00039 | 0.6405 | 1.5219 | 0.1626 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00040 | 0.9513 | 1.6222 | 0.7268 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00041 | 0.6268 | 0.8923 | 0.2042 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00042 | 0.5370 | 1.3723 | 0.1304 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00043 | 0.6992 | 3.1118 | 0.3227 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00044 | 0.5914 | 3.0325 | 0.1853 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00045 | 0.9933 | 0.6976 | 0.5953 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00046 | 0.7106 | 2.4671 | 0.302 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00047 | 0.8229 | 1.4690 | 0.4345 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00048 | 0.8230 | 1.8510 | 0.5241 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00049 | 0.6638 | 1.0199 | 0.2287 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00050 | 0.7982 | 0.5518 | 0.2522 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00051 | 0.7004 | 0.2704 | 0.2078 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00052 | 0.7324 | 2.7133 | 0.353 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00053 | 0.9410 | 2.9975 | 0.7667 | CRITICAL_MEMORIZATION_LEAK_HAZARD | TRIGGER_DYNAMIC_DIFFERENTIAL_PRIVACY_NOISE | 422
PRIV-00054 | 0.8305 | 3.4493 | 0.5796 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00055 | 0.6029 | 2.8810 | 0.2488 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00056 | 0.8449 | 2.8232 | 0.6066 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00057 | 0.8574 | 1.6388 | 0.4942 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00058 | 0.6138 | 1.2228 | 0.1663 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00059 | 0.7014 | 1.4385 | 0.2921 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00060 | 0.8045 | 0.3969 | 0.3504 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00061 | 0.6990 | 1.9996 | 0.2817 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00062 | 0.9899 | 2.0323 | 0.8502 | CRITICAL_MEMORIZATION_LEAK_HAZARD | TRIGGER_DYNAMIC_DIFFERENTIAL_PRIVACY_NOISE | 422
PRIV-00063 | 0.9790 | 2.4307 | 0.8183 | CRITICAL_MEMORIZATION_LEAK_HAZARD | TRIGGER_DYNAMIC_DIFFERENTIAL_PRIVACY_NOISE | 422
PRIV-00064 | 0.7037 | 0.1890 | 0.1428 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00065 | 0.8425 | 2.0397 | 0.5617 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00066 | 0.7739 | 1.1371 | 0.4052 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00067 | 0.6188 | 2.6742 | 0.2188 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00068 | 0.7348 | 2.8272 | 0.4147 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00069 | 0.6854 | 0.3002 | 0.1995 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00070 | 0.7273 | 2.2695 | 0.3228 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00071 | 0.9053 | 2.8480 | 0.7157 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00072 | 0.7517 | 0.6245 | 0.3381 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00073 | 0.8159 | 2.1414 | 0.4846 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00074 | 0.6482 | 0.3768 | 0.2241 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00075 | 0.5981 | 1.1370 | 0.0572 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00076 | 0.7958 | 0.7615 | 0.3764 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00077 | 0.9104 | 1.0922 | 0.5685 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00078 | 0.6077 | 3.3296 | 0.2047 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00079 | 0.5099 | 0.8200 | 0.0957 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00080 | 0.6549 | 2.3548 | 0.1771 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00081 | 0.5741 | 2.3071 | 0.1633 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00082 | 0.7654 | 1.8653 | 0.4026 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00083 | 0.6493 | 0.5390 | 0.232 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00084 | 0.8783 | 0.2238 | 0.3558 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00085 | 0.6949 | 0.8099 | 0.1999 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00086 | 0.9782 | 0.3809 | 0.5361 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00087 | 0.7549 | 1.2826 | 0.3734 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00088 | 0.5460 | 1.1673 | 0.1373 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00089 | 0.6121 | 0.2064 | 0.1053 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00090 | 0.6062 | 2.5231 | 0.2267 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00091 | 0.8003 | 2.9749 | 0.4916 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00092 | 0.5734 | 0.7748 | 0.1678 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00093 | 0.9865 | 0.2051 | 0.5009 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00094 | 0.9960 | 3.0056 | 0.9284 | CRITICAL_MEMORIZATION_LEAK_HAZARD | TRIGGER_DYNAMIC_DIFFERENTIAL_PRIVACY_NOISE | 422
PRIV-00095 | 0.6026 | 0.8113 | 0.1358 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00096 | 0.5013 | 3.1474 | 0.0623 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00097 | 0.6905 | 2.1096 | 0.3055 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00098 | 0.8014 | 1.5445 | 0.4345 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00099 | 0.6218 | 2.7354 | 0.226 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00100 | 0.9862 | 2.0217 | 0.8376 | CRITICAL_MEMORIZATION_LEAK_HAZARD | TRIGGER_DYNAMIC_DIFFERENTIAL_PRIVACY_NOISE | 422
PRIV-00101 | 0.7123 | 0.4344 | 0.1627 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00102 | 0.8447 | 0.4021 | 0.3443 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00103 | 0.7229 | 1.9835 | 0.3184 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00104 | 0.5085 | 0.2474 | 0.0418 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00105 | 0.7458 | 1.6717 | 0.3427 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00106 | 0.8879 | 0.7182 | 0.4866 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00107 | 0.8775 | 0.5571 | 0.505 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00108 | 0.8356 | 1.8724 | 0.5127 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00109 | 0.8228 | 1.5903 | 0.4731 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00110 | 0.6500 | 0.6802 | 0.1794 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00111 | 0.6503 | 1.0364 | 0.1263 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00112 | 0.9831 | 3.4602 | 0.9201 | CRITICAL_MEMORIZATION_LEAK_HAZARD | TRIGGER_DYNAMIC_DIFFERENTIAL_PRIVACY_NOISE | 422
PRIV-00113 | 0.9640 | 1.4733 | 0.7312 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00114 | 0.5568 | 1.1956 | 0.2311 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00115 | 0.5832 | 2.7329 | 0.1785 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00116 | 0.9423 | 2.6053 | 0.7912 | CRITICAL_MEMORIZATION_LEAK_HAZARD | TRIGGER_DYNAMIC_DIFFERENTIAL_PRIVACY_NOISE | 422
PRIV-00117 | 0.7239 | 2.6992 | 0.3541 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00118 | 0.8230 | 0.6898 | 0.3244 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00119 | 0.5610 | 3.0990 | 0.2147 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00120 | 0.9022 | 0.5677 | 0.4987 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00121 | 0.7364 | 2.8764 | 0.4097 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00122 | 0.6750 | 0.5403 | 0.1579 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00123 | 0.9865 | 2.3146 | 0.9299 | CRITICAL_MEMORIZATION_LEAK_HAZARD | TRIGGER_DYNAMIC_DIFFERENTIAL_PRIVACY_NOISE | 422
PRIV-00124 | 0.5739 | 1.0878 | 0.0853 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00125 | 0.7011 | 2.9290 | 0.3505 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00126 | 0.5799 | 2.1506 | 0.2623 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00127 | 0.6591 | 0.9703 | 0.1681 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00128 | 0.5512 | 3.3424 | 0.1391 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00129 | 0.7518 | 2.6839 | 0.4017 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00130 | 0.9556 | 0.4349 | 0.5096 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00131 | 0.6776 | 1.1578 | 0.1747 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00132 | 0.9989 | 2.3336 | 0.9113 | CRITICAL_MEMORIZATION_LEAK_HAZARD | TRIGGER_DYNAMIC_DIFFERENTIAL_PRIVACY_NOISE | 422
PRIV-00133 | 0.8776 | 1.2216 | 0.4795 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00134 | 0.7874 | 2.7977 | 0.4791 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00135 | 0.5474 | 1.6701 | 0.1013 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00136 | 0.7550 | 1.9449 | 0.4385 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00137 | 0.8597 | 3.1894 | 0.579 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00138 | 0.7287 | 1.3521 | 0.2945 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00139 | 0.7876 | 3.2447 | 0.5027 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00140 | 0.5886 | 3.0329 | 0.1453 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00141 | 0.7972 | 1.8791 | 0.4486 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00142 | 0.9780 | 2.5230 | 0.9183 | CRITICAL_MEMORIZATION_LEAK_HAZARD | TRIGGER_DYNAMIC_DIFFERENTIAL_PRIVACY_NOISE | 422
PRIV-00143 | 0.7920 | 3.0620 | 0.4104 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00144 | 0.7410 | 3.1521 | 0.3975 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00145 | 0.7611 | 0.1805 | 0.2506 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00146 | 0.6698 | 0.7982 | 0.2385 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00147 | 0.9142 | 0.3066 | 0.3906 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00148 | 0.9643 | 3.1191 | 0.8059 | CRITICAL_MEMORIZATION_LEAK_HAZARD | TRIGGER_DYNAMIC_DIFFERENTIAL_PRIVACY_NOISE | 422
PRIV-00149 | 0.6450 | 1.3012 | 0.2318 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00150 | 0.6243 | 0.5149 | 0.1642 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00151 | 0.7917 | 3.3621 | 0.4897 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00152 | 0.8082 | 3.3088 | 0.5231 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00153 | 0.7744 | 1.1694 | 0.3272 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00154 | 0.8782 | 0.6384 | 0.4526 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00155 | 0.6804 | 2.0454 | 0.2907 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00156 | 0.7182 | 0.1965 | 0.1748 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00157 | 0.8980 | 2.3204 | 0.7339 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00158 | 0.6315 | 2.0349 | 0.2417 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00159 | 0.6260 | 2.4857 | 0.1788 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00160 | 0.6384 | 0.9535 | 0.214 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00161 | 0.8561 | 3.0962 | 0.5614 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00162 | 0.9424 | 2.8607 | 0.8232 | CRITICAL_MEMORIZATION_LEAK_HAZARD | TRIGGER_DYNAMIC_DIFFERENTIAL_PRIVACY_NOISE | 422
PRIV-00163 | 0.7292 | 1.8437 | 0.3811 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00164 | 0.7008 | 2.7908 | 0.2914 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00165 | 0.7048 | 0.9127 | 0.2884 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00166 | 0.6941 | 3.1119 | 0.3367 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00167 | 0.7497 | 2.9357 | 0.433 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00168 | 0.7259 | 3.0199 | 0.4406 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00169 | 0.8179 | 3.4623 | 0.5208 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00170 | 0.8733 | 0.4205 | 0.3719 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00171 | 0.9919 | 0.6293 | 0.601 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00172 | 0.5793 | 0.1791 | 0.0732 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00173 | 0.9221 | 0.9652 | 0.5647 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00174 | 0.5802 | 0.7992 | 0.1484 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00175 | 0.7673 | 3.0934 | 0.4432 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00176 | 0.7615 | 0.6646 | 0.3247 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00177 | 0.7042 | 0.2312 | 0.1952 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
PRIV-00178 | 0.7310 | 1.9813 | 0.4014 | DATA_PRIVACY_SECURE | MAINTAIN_BASELINE_PRIVACY_BUDGET | 200
